open,prediction
6.03,6.497477
6.05,6.5092077
6.17,6.5560827
6.11,6.587717
6.19,6.583639
6.24,6.625185
6.28,6.6811094
6.49,6.7542043
6.43,6.8404617
6.42,6.9435735
6.45,7.054705
6.5,7.186141
6.68,7.299321
6.81,7.4014826
7.31,7.4277825
7.37,7.494471
7.52,7.484906
7.49,7.4419484
7.32,7.3693905
6.79,7.328967
6.94,7.2130136
6.98,7.2357244
6.92,7.158034
6.85,7.0682926
7.09,6.9884715
6.77,6.9313755
6.77,6.836919
6.19,6.799089
6.16,6.7171307
6.23,6.7014327
6.2,6.6842017
6.3,6.650121
6.2,6.6290054
6.22,6.5655828
6.02,6.596228
6.01,6.618942
6.12,6.66412
6.06,6.6829653
6.09,6.711049
6.31,6.737454
6.39,6.7730074
6.39,6.775236
6.33,6.7724504
6.4,6.79322
6.37,6.8290434
6.3,6.884778
6.28,6.9459567
6.24,7.022535
6.42,7.0507116
6.45,7.1147656
6.7,7.116636
6.83,7.1346145
6.85,7.1341925
6.66,7.1454396
6.62,7.153451
6.57,7.218594
6.62,7.3081317
6.71,7.384131
6.91,7.4738364
6.94,7.550613
7.1,7.59122
7.18,7.6553864
7.15,7.691562
7.27,7.6974273
7.21,7.7272544
7.21,7.7361727
7.23,7.728173
7.21,7.710615
7.16,7.7288556
7.12,7.697457
7.25,7.6840014
7.13,7.686355
7.17,7.682135
7.3,7.7294555
7.0,7.8079615
7.27,7.874866
7.14,8.026764
7.42,8.136654
7.53,8.309953
7.8,8.417487
8.04,8.542665
8.06,8.656664
8.13,8.717102
8.26,8.821566
8.15,8.933185
8.33,8.947908
8.49,9.002755
8.49,9.045893
8.84,9.026691
8.94,9.066146
8.52,9.045756
8.69,9.020766
8.55,9.087139
8.44,9.124356
8.56,9.155026
8.54,9.213563
8.87,9.265602
8.92,9.387367
9.12,9.451422
8.98,9.448148
9.01,9.36142
9.0,9.273741
9.22,9.173464
9.2,9.115142
8.79,9.008327
8.42,8.85901
8.17,8.79548
8.15,8.81785
8.3,8.896045
8.34,8.948947
8.27,8.9442005
8.54,8.933545
8.67,8.964421
8.8,8.983709
8.55,8.998617
8.43,8.953789
8.33,8.955257
8.35,8.963256
8.55,8.989999
8.61,9.086831
8.54,9.15455
8.55,9.178162
8.45,9.231671
8.48,9.296729
8.92,9.345623
9.05,9.455522
9.01,9.507962
9.02,9.5062685
9.14,9.527311
8.88,9.599466
9.11,9.5681925
9.16,9.476802
9.12,9.355036
9.24,9.266173
9.5,9.322959
9.28,9.364471
8.3,9.280437
8.26,9.140812
8.33,9.081886
9.27,9.005633
9.3,8.992413
9.11,8.787557
8.83,8.551078
8.05,8.349307
7.77,8.122935
7.6,7.9791985
7.47,7.8412595
7.4,7.7676234
7.55,7.723596
7.42,7.7248077
7.19,7.6842566
6.99,7.624227
7.09,7.5765057
7.12,7.620749
7.31,7.7016363
7.29,7.754971
7.2,7.7954206
7.07,7.8965373
7.32,7.9369345
7.69,8.059031
7.66,8.155665
7.77,8.173442
8.16,8.216375
7.73,8.295084
7.95,8.293758
7.8,8.361714
7.73,8.370784
7.86,8.418881
8.11,8.505956
8.31,8.556079
8.15,8.561406
8.18,8.464035
8.22,8.463113
8.36,8.453018
8.14,8.453519
8.11,8.423596
7.8,8.4283085
8.06,8.49103
7.98,8.631658
8.03,8.720462
8.2,8.796449
8.18,8.910275
8.73,9.055606
8.77,9.227784
8.94,9.237197
8.76,9.278197
8.9,9.301504
9.31,9.407099
9.2,9.3884945
8.84,9.394137
9.0,9.369775
9.18,9.310929
9.45,9.236514
8.75,9.115597
9.39,9.041308
9.2,9.015095
8.44,8.835376
8.42,8.548339
8.03,8.433636
9.0,8.322137
8.2,8.300506
8.13,8.025514
7.39,7.957191
7.43,7.713887
7.56,7.6398497
7.23,7.626647
7.26,7.5550513
7.55,7.569256
6.78,7.618623
6.82,7.532094
7.07,7.6131005
7.08,7.7778926
7.26,7.906644
7.4,7.9982553
7.33,8.080969
7.5,8.177777
7.92,8.357209
8.02,8.669686
7.87,8.807824
7.95,8.900378
8.19,9.053083
8.62,9.285546
9.65,9.5342045
9.12,9.817164
9.1,10.030586
9.13,10.161371
9.61,10.143718
9.91,10.167045
10.21,10.1574745
11.5,10.137055
10.36,10.235046
9.43,9.917089
9.17,9.914186
9.19,10.251974
9.5,10.459288
10.02,9.354783
9.66,8.403733
10.73,7.564314
11.92,6.8311715
11.02,5.918549
2.15,4.619677
2.2,2.7908285
2.08,2.7491932
2.16,2.7015615
1.9,2.693658
1.92,2.647173
1.93,2.6497536
1.85,2.6598327
1.94,2.6491585
2.0,2.6690319
1.96,2.6857717
1.93,2.6752582
1.93,2.6724012
1.89,2.6793802
1.96,2.6694536
2.0,2.6780174
1.94,2.644866
1.91,2.6146035
1.92,2.5881636
1.96,2.5927413
1.95,2.5929008
1.91,2.6118708
1.93,2.6137145
1.95,2.601994
2.0,2.5809624
1.95,2.5503097
2.11,2.5060887
2.01,2.4734561
1.85,2.4234588
1.74,2.4032936
1.65,2.3958144
1.64,2.399755
1.63,2.43635
1.72,2.4936612
1.89,2.575243
1.85,2.645333
1.86,2.6787565
1.96,2.725413
2.06,2.7890534
2.2,2.834705
2.19,2.858651
2.19,2.8561232
2.22,2.8471458
2.26,2.8485036
2.23,2.8426814
2.22,2.8182685
2.16,2.8081284
2.18,2.8129518
2.15,2.8269963
2.15,2.8485215
2.07,2.8514504
2.11,2.8588946
2.26,2.8891797
2.29,2.918285
2.39,2.9316063
2.25,2.934125
2.3,2.9131708
2.3,2.917661
2.25,2.910448
2.28,2.9109716
2.22,2.9153662
2.23,2.9144764
2.23,2.9261134
2.23,2.9352746
2.3,2.9427135
2.25,2.9583247
2.29,2.943675
2.3,2.9452264
2.32,2.9239075
2.36,2.9062643
2.4,2.8872008
2.31,2.8675706
2.3,2.8384125
2.16,2.807463
2.12,2.7825854
2.1,2.7808201
2.12,2.778812
2.15,2.7777557
2.08,2.7825177
2.16,2.7618906
2.15,2.753496
2.15,2.738039
2.09,2.7408633
2.11,2.7319443
2.0,2.7377236
1.99,2.724178
2.05,2.739717
2.15,2.7681973
2.11,2.7839215
2.14,2.776066
2.04,2.7907574
2.07,2.776003
2.08,2.7770905
2.1,2.7890854
2.06,2.80343
2.13,2.7893252
2.05,2.7962873
2.03,2.7900445
2.12,2.8122191
2.15,2.856758
2.15,2.8756566
2.16,2.8954098
2.22,2.9059167
2.24,2.918567
2.32,2.9167643
2.25,2.9331832
2.26,2.9483998
2.22,2.9388692
2.22,2.9658525
2.2,2.9759195
2.34,2.9715555
2.44,2.9885457
2.27,2.9890382
2.51,2.9569292
2.33,3.002054
2.28,2.9626138
2.29,2.940156
2.31,2.9154687
2.3,2.8918107
2.47,2.876275
2.35,2.8586552
2.24,2.7944617
2.15,2.7372608
2.09,2.6903324
2.14,2.6410918
2.04,2.5938838
2.0,2.5430539
2.0,2.5158532
1.96,2.4896178
1.87,2.4774325
1.84,2.4708033
1.89,2.501419
1.9,2.5082402
1.88,2.498705
1.91,2.4969823
