open,prediction
3.87,5.0888023
3.86,5.131797
3.93,4.43563
3.9,4.8218894
3.99,5.516494
3.99,4.7700925
4.01,5.4806004
4.04,4.77553
4.09,4.8255143
4.1,4.7302976
4.08,5.3396673
4.15,5.0527945
4.12,4.684678
4.08,4.9860744
3.98,4.759432
4.0,4.6745663
4.01,5.590479
3.92,4.743879
3.93,4.8265347
3.92,4.7982364
3.97,4.8083754
3.96,4.7753716
3.94,5.4945745
4.02,5.5020466
4.11,4.771804
4.09,4.8525934
4.12,4.838556
4.13,5.240399
4.14,5.509448
4.17,5.5108557
4.33,4.9767704
4.1,5.729254
4.05,4.582382
3.93,4.8472223
3.85,5.1316104
3.85,4.738401
3.89,4.6156445
3.74,4.8083234
3.8,4.7287335
3.9,4.749318
3.93,4.7698865
4.01,4.687472
3.95,5.183403
3.93,5.5468674
3.86,4.8147125
3.86,4.826477
3.96,5.442395
3.99,4.7124085
4.0,4.8006115
4.01,4.812867
4.12,4.427846
4.14,4.414647
4.01,4.8364944
3.99,4.7137585
4.06,4.879481
4.01,4.806736
4.04,4.8970337
4.04,5.7979097
4.1,4.925891
4.14,5.628358
4.18,5.225296
4.14,4.360072
4.15,4.854296
4.18,5.5219393
4.14,5.883632
4.21,4.858141
4.13,4.8344297
4.24,5.8892183
4.19,4.741408
4.15,5.323023
4.17,4.7157536
4.17,5.5396547
4.21,4.9234314
4.19,5.902362
4.13,4.9867425
4.16,4.9326935
4.1,5.779822
4.47,5.3433323
4.61,6.326805
4.72,6.355758
4.81,6.4562387
4.92,5.0820312
4.97,6.6009827
4.96,5.888899
4.9,5.536173
4.98,5.0119076
4.87,5.1523557
4.85,6.5482903
4.88,5.9607153
4.84,6.658663
4.85,6.4880476
4.98,6.3700194
4.93,5.650319
4.95,4.9938545
4.89,5.757778
4.88,6.6939745
5.0,6.0526567
5.05,6.7437916
5.04,6.7943435
5.03,6.64812
5.11,5.245525
5.08,5.1014924
5.07,6.5850735
5.05,6.797989
5.13,5.0739446
5.08,6.4712195
5.15,5.300103
5.15,7.115574
5.25,7.0148907
5.35,7.50062
5.28,6.8943663
5.4,7.115883
5.47,7.1762915
5.53,7.0047245
5.6,7.2357726
5.59,6.6819735
5.55,7.03148
5.57,7.4541073
5.67,7.4215603
5.72,7.500581
5.75,7.2721615
5.71,6.945272
5.5,7.461527
5.49,7.4695745
5.71,7.0794787
5.77,6.9907055
5.87,7.2619925
5.75,7.032172
5.64,7.272549
5.29,6.973821
5.2,6.526167
5.15,6.811854
5.17,6.6717887
5.26,7.1636124
5.4,5.698633
5.19,6.4739275
5.12,6.5958514
5.12,6.6018906
5.0,6.8908796
4.97,5.5520363
4.94,7.0297856
4.92,6.484891
4.89,6.6387916
4.94,6.6800604
4.93,6.511208
4.96,6.649951
5.01,6.598541
5.04,6.5778503
4.85,6.31619
4.79,6.2028856
4.84,6.0711308
4.72,6.615567
4.71,6.0575533
4.76,6.1295843
4.91,5.7517915
4.9,6.453872
4.8,7.014323
4.76,5.228314
4.89,6.930567
4.98,6.546061
4.92,6.5899744
5.15,6.981348
5.18,6.5907226
5.15,7.1574636
5.18,6.6810355
5.1,6.5005546
5.3,7.3403215
5.27,5.525767
5.36,7.3060093
5.46,6.9432306
5.57,6.578548
5.58,6.896887
5.57,6.50303
