open,prediction
5.03,5.662298
5.1,5.749035
5.15,5.8943295
5.1,5.7808676
5.26,5.7264686
5.2,5.818876
5.29,5.695861
5.42,5.6964993
5.31,5.7187343
5.35,5.8164425
5.35,5.7548704
5.33,6.0892396
5.32,5.914186
5.28,5.8393617
5.16,5.8093915
5.29,5.8679605
5.52,6.1175814
5.41,5.8560543
5.43,5.728266
5.43,5.824993
5.53,5.844348
5.55,5.872812
5.59,6.145515
5.46,6.101721
5.36,6.218116
5.42,6.231932
5.65,5.857522
5.73,5.856887
5.71,5.9607263
5.56,5.899274
5.6,6.0485373
5.62,6.0490084
5.69,5.9242153
5.63,6.3098845
5.6,5.7820315
5.5,5.8572745
5.52,6.072135
5.33,6.0279016
5.44,6.3033276
5.63,5.9909396
5.54,6.081504
5.57,6.1577215
5.61,5.7567186
5.73,5.8624196
5.65,5.751941
5.55,6.1522474
5.54,5.823995
5.5,5.5776997
5.31,5.5955524
5.4,5.455002
5.41,5.2647605
5.03,5.347486
4.98,5.299355
5.01,5.3165417
4.85,5.3258667
4.46,5.3074117
4.5,5.326376
4.5,5.356025
4.48,5.4336085
4.56,5.210981
4.67,5.384222
4.6,5.38518
4.7,5.4208436
4.74,5.424153
4.6,5.356487
4.67,5.3697433
4.66,5.2587233
4.67,5.478831
4.72,5.26016
4.66,5.2209253
4.73,5.1918035
4.65,5.216856
4.63,5.290228
4.57,5.261755
4.49,5.308117
4.45,5.3649426
4.41,5.3195143
4.49,5.335601
4.48,5.240736
4.58,5.1798215
4.56,5.257599
4.6,5.2243786
4.66,5.2575974
4.53,5.260771
4.49,5.2662616
4.56,5.268418
4.54,5.3308268
4.57,5.2433057
4.63,5.245379
4.67,5.290751
4.7,5.2777286
4.75,5.2962847
4.68,5.4189982
4.61,5.3222933
4.62,5.3119717
4.66,5.309096
4.7,5.512332
4.72,5.272
4.79,5.3175993
4.79,5.3082705
4.77,5.2836914
4.75,5.312777
4.81,5.0743566
4.69,5.3682523
4.75,5.2350135
4.66,5.2159734
4.76,5.580153
4.72,5.4010158
4.8,5.3033876
4.89,5.3048477
4.85,5.3417044
4.97,5.453979
5.0,5.254921
4.99,5.211717
4.97,5.3994226
4.92,5.1650624
4.87,5.4833045
4.88,5.0596576
4.94,5.233943
4.96,5.0604396
4.9,5.260173
4.97,5.3841386
4.77,5.292728
4.73,5.3169627
4.87,5.0711136
4.99,5.0796375
5.0,5.1824193
4.7,5.061513
4.7,5.06225
4.5,5.1898293
4.58,5.010219
4.52,5.0971866
4.5,5.025385
4.57,4.8578167
4.59,4.865581
4.55,4.842133
4.41,4.7914124
4.35,4.8801155
4.31,4.7390633
4.28,4.791339
4.26,4.826024
4.29,4.8242455
4.21,4.835449
4.2,4.832077
4.15,4.8540998
4.19,4.778633
4.23,4.759542
4.21,4.6252
4.22,4.8074307
4.21,4.77716
4.2,4.8285294
4.12,4.7280974
4.12,4.847718
4.11,4.8528714
4.18,4.850043
4.19,4.859067
4.11,4.942271
4.1,4.9059877
4.21,4.9106054
4.24,5.0882883
4.2,4.873741
4.34,4.7628546
4.35,4.945867
4.38,5.0586834
4.42,4.9789
4.42,5.030682
4.51,4.9454226
4.49,4.9384804
4.51,4.9801235
4.54,5.1486497
4.6,5.1600657
4.48,4.845442
4.5,5.0142417
4.56,4.9807377
4.57,4.9599886
4.43,5.098818
4.43,4.9732413
4.47,5.02107
4.48,5.1423187
4.46,4.868856
4.49,5.1790423
4.37,5.214477
4.47,5.082351
4.48,5.0559607
4.55,5.0654655
4.47,5.034408
4.6,5.0388255
4.52,4.9962697
4.42,5.014196
4.45,4.9904757
4.44,4.874768
4.42,4.789081
4.38,4.9911227
4.33,4.8621597
4.26,4.8654833
4.14,5.0594244
4.04,4.9026437
4.23,4.8477144
4.26,4.9007683
4.2,4.880092
4.16,4.8909836
4.23,4.7887583
4.18,4.8820176
4.2,4.819773
4.25,4.869754
4.28,4.9298515
4.23,4.565468
4.21,4.864842
4.19,4.8318453
4.06,4.932052
4.01,4.8637524
4.09,4.9437294
4.1,4.9578643
4.18,5.0588703
4.29,5.025326
4.15,5.012146
4.28,4.9808817
4.42,5.1809115
4.48,5.2973657
4.36,5.2782235
4.38,5.2610197
4.43,5.3955045
4.68,5.334991
4.83,5.266356
4.76,5.2524576
4.82,5.152724
4.73,5.279914
4.79,5.2334013
4.73,5.22419
4.68,5.3019466
4.55,5.1351094
4.56,5.321886
4.59,5.4688005
4.75,5.502619
4.8,5.406277
4.72,5.2371693
4.85,5.419885
4.81,5.411567
4.88,5.4513483
4.92,5.496942
4.86,5.366346
4.91,5.41696
5.02,5.333108
5.07,5.343188
4.98,5.5281577
4.95,5.305374
4.91,5.3336477
4.82,5.387019
4.86,5.321191
4.89,5.723698
4.84,5.565271
4.87,5.743225
4.81,5.708268
4.9,5.704373
5.18,5.738349
5.3,6.2615156
5.46,5.830605
5.51,6.081955
5.56,6.1620927
5.54,5.7017045
5.67,5.7531085
5.74,5.9272413
5.72,6.0790524
5.49,5.9076266
5.54,5.830869
5.46,6.122082
5.62,5.80968
5.79,5.5661664
5.67,5.8433537
5.53,6.140985
5.72,6.1594257
5.41,5.856482
5.35,5.8327203
5.56,5.7228723
5.72,5.508014
6.18,5.3283834
5.21,5.5658793
5.02,5.2907124
5.08,5.4889116
5.0,5.371497
4.83,5.4852247
4.89,5.4550304
4.8,5.5346913
4.9,5.513323
5.02,5.39732
5.02,5.3035755
5.11,5.3290296
4.96,5.418789
5.05,5.284545
5.0,5.3272557
4.84,5.371445
4.75,5.490373
4.9,5.527568
4.88,5.4171643
4.91,5.579533
4.94,5.1720147
5.05,5.3207326
5.0,5.2555337
5.09,5.272604
5.17,5.3026214
5.0,5.4691844
4.65,5.3099117
4.53,5.2963486
4.77,5.417496
4.78,5.5726395
4.85,5.343958
4.8,5.058133
4.83,5.038558
5.06,5.0465035
5.43,5.0059943
4.87,4.844723
4.37,4.829131
4.48,4.6813936
4.37,4.6467066
4.21,4.571975
4.04,4.679319
3.84,4.7422853
3.66,4.814289
3.64,4.9287167
3.49,4.917681
3.69,4.878608
3.95,4.9945865
4.01,4.96776
4.31,4.9717865
4.34,5.0115833
4.19,5.005762
4.2,5.2115655
4.28,4.882494
4.35,4.8679953
4.38,4.807768
4.3,4.749468
4.28,4.7697434
4.1,4.731141
4.12,4.782133
3.98,4.720202
3.97,4.769686
3.98,4.7372956
3.92,4.795864
3.96,4.8154125
3.87,4.779203
3.89,4.735509
3.93,4.715403
3.97,4.556369
3.97,4.786896
3.94,4.8572936
3.87,4.7582045
3.86,4.7902956
3.82,4.815828
4.02,4.896945
4.11,4.7860117
4.06,5.023968
4.02,5.0040317
4.04,4.9383755
4.16,5.1883974
4.2,4.972047
4.34,4.95597
4.29,5.021196
4.24,5.0845165
4.24,5.0643415
4.25,5.062333
4.29,5.021577
4.32,5.21136
4.4,4.9268503
4.35,4.994461
4.4,4.9207697
4.29,5.007192
4.36,5.0715594
4.24,5.086071
4.27,4.9222727
4.27,4.8097076
4.35,4.7689824
4.35,4.736275
4.35,4.781932
4.09,4.87925
3.9,4.839646
3.81,4.9500523
3.89,4.9720826
3.83,4.9732385
4.02,4.930048
4.05,4.9491534
4.18,4.96222
4.28,5.044358
4.2,5.0381417
4.23,5.039467
4.12,5.052423
4.25,5.038255
4.28,5.0116425
4.31,5.0280337
4.35,4.9993563
4.39,4.9544854
4.32,4.8505836
4.25,4.954145
4.3,5.0066614
4.28,4.943219
4.2,4.9915643
4.14,4.977761
4.13,5.053453
4.19,4.981038
4.14,4.9786696
4.2,4.95723
4.26,4.94021
4.32,4.976869
4.21,4.7116313
4.2,4.951152
4.2,4.9711995
4.14,4.873557
4.16,4.9058228
4.09,4.843271
4.08,4.8899393
4.13,4.9270864
4.1,4.8983073
4.1,4.856786
4.04,4.7986655
4.08,4.827968
4.04,4.8852096
4.05,4.852018
3.94,4.918602
3.9,4.8849506
3.87,4.858877
3.96,4.801373
4.01,4.86021
4.0,4.8321443
3.95,4.8870773
3.95,4.6764164
3.89,4.848805
3.92,4.8049235
3.89,4.722543
3.96,4.7590575
3.91,4.750026
3.91,4.7666163
3.82,4.6180887
3.79,4.7137847
3.76,4.6856227
3.74,4.785122
3.77,4.793873
3.75,4.805828
3.71,4.8760395
3.82,4.8480277
3.82,4.728099
3.8,4.913838
3.85,4.964156
3.96,4.9773636
3.92,4.9804325
3.92,4.945502
4.03,4.9101176
4.08,4.8808775
4.11,4.9414787
4.13,4.9712105
4.07,5.0145082
4.07,5.0516047
4.01,4.996505
4.06,4.9627676
4.14,4.996845
4.25,5.1475286
4.26,5.274546
4.17,5.1973743
4.2,5.168062
4.2,5.270551
4.44,5.354904
4.65,5.10179
4.54,5.1989346
4.5,5.159129
4.64,5.1871443
4.6,5.2133107
4.46,5.1759377
4.57,5.1233406
4.41,5.011137
4.51,5.0757937
4.53,5.154074
4.48,5.11862
4.4,5.0428505
4.33,4.9773617
4.42,5.014744
4.46,5.022113
4.31,4.991575
4.22,4.961636
4.26,4.935059
4.2,4.894604
4.19,4.8631516
4.16,4.919585
4.19,4.993277
4.08,4.989297
4.03,4.9861026
4.1,4.991488
4.01,5.0638285
4.12,4.9974155
4.16,5.0085015
4.13,4.935036
4.15,4.937959
4.13,4.9082074
4.1,4.8808365
4.07,4.715155
4.04,4.7546654
4.0,4.7169952
3.89,4.745577
3.89,4.769034
3.68,4.8338504
3.68,4.8443775
3.68,4.7754197
3.75,4.7408524
3.85,4.7743697
3.9,4.791419
3.9,4.8263874
3.8,4.8656116
3.79,4.8378696
3.77,4.8901196
3.81,4.821189
3.85,4.8123894
3.9,4.810524
3.95,4.824245
3.94,4.804034
3.91,4.7327414
3.87,4.8024974
3.93,4.8261714
3.95,4.86351
3.87,4.7935057
3.85,4.817765
3.93,4.784824
3.93,4.744241
3.91,4.781403
3.89,4.759949
3.91,4.7028403
3.86,4.7539062
3.86,4.7844887
3.87,4.726877
3.8,4.823736
3.8,4.835252
3.77,4.872618
3.81,4.8342047
3.83,4.8306203
3.88,4.787516
3.93,4.8390336
3.98,4.807058
3.91,4.8462043
3.9,4.8336554
3.91,4.8885946
4.0,4.9049172
3.99,4.890778
4.06,4.8734803
4.02,4.8895664
4.07,4.809037
4.16,4.8910418
4.05,4.8812513
4.04,4.9144163
4.01,4.9169383
4.0,4.9655447
3.99,4.7687006
4.02,4.930786
4.08,4.936289
4.09,4.9504204
4.18,4.9703403
4.14,4.997915
4.12,4.944489
4.1,4.9955196
4.17,4.920662
4.17,4.9508348
4.17,4.9718184
4.13,5.0138116
4.18,4.963472
4.14,5.078951
4.12,5.134732
4.17,5.1759033
4.25,5.1359863
4.33,5.078555
4.45,5.0746813
4.51,5.117803
4.53,5.109342
4.46,5.0099373
4.33,5.055331
4.35,5.0432267
4.38,5.025949
4.4,5.060883
4.38,5.0650196
4.39,5.073606
4.34,5.022792
4.28,4.926771
4.3,4.817884
4.28,4.8802
4.33,4.904874
4.23,4.8476224
4.06,4.951311
4.05,4.8856077
3.99,4.8645372
4.06,4.987955
4.08,4.868186
4.19,4.997096
4.07,4.9788685
4.07,4.944955
4.1,4.9469543
4.11,5.0247726
4.31,4.9700155
4.21,4.931
4.28,4.9579782
4.17,5.074461
4.43,4.9973283
4.25,5.0014515
4.37,5.0648956
4.18,4.892511
4.39,4.875479
4.23,4.7927685
4.32,4.925614
4.25,4.8699245
4.06,4.806618
4.17,4.769449
4.16,4.8027854
4.11,4.745561
4.1,4.5928907
3.92,4.738736
3.94,4.7557144
3.94,5.005489
3.85,5.004224
3.58,4.921892
3.82,4.859506
4.02,4.8211856
4.35,4.8714094
4.3,4.881383
4.13,4.694049
4.05,4.7993784
4.15,4.8299437
4.03,4.761089
4.15,4.8096952
4.06,4.819892
3.95,4.702146
4.0,4.866022
3.89,4.51212
4.0,4.5606337
4.01,4.5500326
3.82,4.611445
4.11,4.6276793
3.57,4.7131257
3.51,4.6524796
3.55,4.6197333
3.7,4.686882
3.77,4.5990887
3.81,4.5990705
3.75,4.6150637
3.74,4.6193576
3.74,4.6459813
3.68,4.63011
3.6,4.6085668
3.68,4.614255
3.62,4.6408463
3.61,4.6218343
3.57,4.5732737
3.64,4.607974
3.64,4.6146626
3.63,4.7328305
3.56,4.7223454
3.63,4.7196264
3.6,4.663897
3.66,4.7527366
3.82,4.746775
3.78,4.803226
3.84,4.8043394
3.9,4.685561
3.87,4.735206
3.93,4.6379323
3.99,4.577016
3.92,4.6047277
3.79,4.6347504
3.81,4.614032
3.6,4.502481
3.59,4.5611877
3.67,4.550398
3.68,4.465493
3.62,4.53817
3.6,4.5043736
3.6,4.5893025
3.59,4.551
3.61,4.5361385
3.56,4.560304
3.57,4.4816246
3.58,4.5166926
3.57,4.498748
3.56,4.4334455
3.51,4.4838676
3.51,4.5918922
3.48,4.5765524
3.47,4.5381145
3.4,4.566101
