open,prediction
10.29,10.807801
10.37,10.771811
10.39,10.882072
10.4,10.764005
10.55,10.841553
10.55,10.956978
10.69,10.928846
10.7,11.063366
10.42,11.142268
10.53,11.087912
10.62,11.281214
10.71,11.3594675
10.75,11.415743
11.0,11.242252
11.01,11.246507
11.31,11.3710985
11.44,11.384537
11.27,11.225293
11.3,11.237816
11.03,11.292702
11.4,11.247736
11.22,11.330673
10.95,11.399153
11.11,11.610691
11.01,11.49624
10.89,11.608092
11.35,11.746218
11.36,11.926968
11.8,12.185483
11.49,11.496602
11.44,11.497666
11.7,11.30168
11.85,11.311207
12.16,11.086477
11.22,11.114144
11.0,11.342243
10.94,11.355683
10.63,11.257437
10.56,11.303347
10.6,11.226152
11.11,11.218648
11.17,11.255169
10.85,10.632426
11.0,10.258795
10.79,10.115433
10.61,10.036514
10.7,9.780935
9.69,9.764366
9.4,9.617038
9.33,9.594065
9.46,9.552317
9.33,9.537189
9.36,9.532551
9.32,9.518364
9.07,9.517138
9.0,9.628372
9.04,9.700783
9.16,9.751322
9.15,9.832312
9.16,9.791271
9.43,9.874133
9.47,9.833296
9.47,9.869968
9.48,9.878472
9.43,9.729624
9.64,9.851925
9.4,9.921598
9.48,9.797171
9.51,9.683618
9.35,9.54759
9.62,9.530813
9.6,9.386584
9.51,9.703685
9.22,9.538401
8.9,9.530505
9.09,9.592896
8.91,9.57844
9.16,9.662322
9.07,9.574592
9.06,9.573281
9.18,9.827675
9.16,9.642208
9.28,9.531423
9.16,9.704063
9.2,9.771172
9.24,9.619033
9.34,9.555811
9.25,9.724726
9.46,9.511696
9.39,9.446139
9.14,9.523039
9.3,9.634773
9.34,9.9025
9.0,10.108208
9.09,10.245108
9.2,10.377087
9.39,10.453592
9.64,10.09587
10.09,9.696717
10.1,9.629814
10.13,9.366452
9.91,9.350003
9.43,9.278914
9.06,9.306953
9.03,9.338181
8.96,9.407225
8.84,9.475473
8.83,9.475687
8.99,9.488274
9.09,9.5966425
