open,prediction
6.03,6.1085234
6.05,6.0962477
6.17,6.13227
6.11,6.148546
6.19,6.1314836
6.24,6.189948
6.28,6.2727256
6.49,6.384098
6.43,6.4507837
6.42,6.5514216
6.45,6.6239576
6.5,6.745431
6.68,6.8599424
6.81,6.9307375
7.31,6.9571
7.37,7.0891256
7.52,7.0859585
7.49,6.976221
7.32,6.868371
6.79,6.8265944
6.94,6.67973
6.98,6.689865
6.92,6.612758
6.85,6.5628443
7.09,6.4777355
6.77,6.314455
6.77,6.218175
6.19,6.1023903
6.16,6.0598335
6.23,6.0627623
6.2,5.9970546
6.3,5.9696765
6.2,5.9408007
6.22,5.8407936
6.02,5.897402
6.01,5.9466
6.12,5.988716
6.06,5.992389
6.09,6.0511656
6.31,6.0659575
6.39,6.105502
6.39,6.104593
6.33,6.1025343
6.4,6.1599293
6.37,6.1368713
6.3,6.1693306
6.28,6.219049
6.24,6.255844
6.42,6.2748766
6.45,6.3798237
6.7,6.391981
6.83,6.3839846
6.85,6.401145
6.66,6.3995905
6.62,6.3981853
6.57,6.476416
6.62,6.565112
6.71,6.6030903
6.91,6.7118225
6.94,6.7515116
7.1,6.7485785
7.18,6.8172274
7.15,6.8521223
7.27,6.8148613
7.21,6.8282003
7.21,6.848113
7.23,6.798401
7.21,6.763213
7.16,6.7950983
7.12,6.749158
7.25,6.760977
7.13,6.7596946
7.17,6.7683153
7.3,6.841546
7.0,6.886217
7.27,6.9862742
7.14,7.0916166
7.42,7.220188
7.53,7.4013615
7.8,7.490321
8.04,7.6104937
8.06,7.7112737
8.13,7.7433505
8.26,7.8338346
8.15,7.925694
8.33,7.911605
8.49,7.9950237
8.49,8.039243
8.84,8.032592
8.94,8.077934
8.52,8.0369
8.69,8.061248
8.55,8.098128
8.44,8.109402
8.56,8.149276
8.54,8.187445
8.87,8.267304
8.92,8.383779
9.12,8.436371
8.98,8.369074
9.01,8.30899
9.0,8.262783
9.22,8.188993
9.2,8.100414
8.79,7.932243
8.42,7.7784343
8.17,7.730028
8.15,7.744607
8.3,7.826829
8.34,7.8563194
8.27,7.8571043
8.54,7.89276
8.67,7.9347425
8.8,7.9560747
8.55,7.9205446
8.43,7.8454385
8.33,7.8696513
8.35,7.874997
8.55,7.9059815
8.61,8.0257225
8.54,8.042844
8.55,8.004649
8.45,8.079948
8.48,8.165041
8.92,8.196781
9.05,8.340075
9.01,8.399068
9.02,8.390801
9.14,8.4180975
8.88,8.493967
9.11,8.439285
9.16,8.328021
9.12,8.309452
9.24,8.2915
9.5,8.392157
9.28,8.337919
8.3,8.136819
8.26,8.075055
8.33,8.044334
9.27,8.043972
9.3,8.039677
9.11,7.856452
8.83,7.623719
8.05,7.391293
7.77,7.184877
7.6,7.0291643
7.47,6.8981066
7.4,6.884192
7.55,6.8683796
7.42,6.85013
7.19,6.810415
6.99,6.752594
7.09,6.7304215
7.12,6.82162
7.31,6.9429054
7.29,6.943601
7.2,6.975285
7.07,7.123304
7.32,7.144722
7.69,7.2989025
7.66,7.393158
7.77,7.4226413
8.16,7.4969673
7.73,7.524465
7.95,7.5120964
7.8,7.5097623
7.73,7.5393424
7.86,7.616496
8.11,7.709246
8.31,7.734826
8.15,7.7357397
8.18,7.6369348
8.22,7.6743217
8.36,7.6605434
8.14,7.6398215
8.11,7.6143217
7.8,7.586006
8.06,7.698789
7.98,7.796788
8.03,7.862906
8.2,7.94202
8.18,8.067036
8.73,8.261749
8.77,8.367299
8.94,8.365889
8.76,8.450546
8.9,8.497564
9.31,8.596043
9.2,8.482391
8.84,8.557425
9.0,8.545343
9.18,8.427284
9.45,8.45356
8.75,8.303433
9.39,8.355557
9.2,8.183341
8.44,7.95942
8.42,7.7417216
8.03,7.6676483
9.0,7.6502647
8.2,7.4823036
8.13,7.258518
7.39,7.179618
7.43,6.876374
7.56,6.857673
7.23,6.8819895
7.26,6.784236
7.55,6.791849
6.78,6.786619
6.82,6.7227225
7.07,6.809527
7.08,6.96989
7.26,7.08434
7.4,7.1398997
7.33,7.2251368
7.5,7.364563
7.92,7.5674686
8.02,7.8700647
7.87,7.862026
7.95,7.9786634
8.19,8.220757
8.62,8.478172
9.65,8.728112
9.12,8.910387
9.1,9.179923
9.13,9.143302
9.61,9.147814
9.91,9.334621
10.21,9.379499
11.5,9.407488
10.36,9.3733225
9.43,8.9726515
9.17,9.057383
9.19,9.416147
9.5,9.425213
10.02,7.9271355
9.66,7.777727
10.73,7.455768
11.92,6.4644594
11.02,5.2978497
2.15,3.665774
2.2,2.3055112
2.08,2.2292602
2.16,2.2020264
1.9,2.1755574
1.92,2.1222208
1.93,2.1441233
1.85,2.1523793
1.94,2.1512427
2.0,2.1797154
1.96,2.1743872
1.93,2.1442373
1.93,2.1624553
1.89,2.1792471
1.96,2.1833513
2.0,2.1910408
1.94,2.1509612
1.91,2.1539216
1.92,2.1503618
1.96,2.170132
1.95,2.1905458
1.91,2.2271256
1.93,2.2327094
1.95,2.2236512
2.0,2.224992
1.95,2.201965
2.11,2.1892636
2.01,2.1307306
1.85,2.0794783
1.74,2.0664814
1.65,2.0407362
1.64,2.0413058
1.63,2.0890152
1.72,2.1453993
1.89,2.2226179
1.85,2.2648754
1.86,2.2905483
1.96,2.3484607
2.06,2.411192
2.2,2.4518225
2.19,2.46355
2.19,2.4545357
2.22,2.4440992
2.26,2.451494
2.23,2.4417465
2.22,2.4104707
2.16,2.4122853
2.18,2.4269135
2.15,2.4235663
2.15,2.4367733
2.07,2.4310064
2.11,2.4587631
2.26,2.4950047
2.29,2.5082614
2.39,2.539313
2.25,2.5191188
2.3,2.5119321
2.3,2.514272
2.25,2.4919817
2.28,2.4827201
2.22,2.4733713
2.23,2.474684
2.23,2.4934595
2.23,2.5070417
2.3,2.522708
2.25,2.525758
2.29,2.5152357
2.3,2.5271025
2.32,2.5127861
2.36,2.5107644
2.4,2.5010872
2.31,2.47975
2.3,2.4515336
2.16,2.4035208
2.12,2.3877685
2.1,2.3668554
2.12,2.364879
2.15,2.3616445
2.08,2.364689
2.16,2.3556376
2.15,2.3608763
2.15,2.3395207
2.09,2.326645
2.11,2.3151696
2.0,2.3065348
1.99,2.2898362
2.05,2.3197114
2.15,2.3557117
2.11,2.3513253
2.14,2.3222888
2.04,2.326472
2.07,2.3053653
2.08,2.305403
2.1,2.3296118
2.06,2.3443575
2.13,2.3175318
2.05,2.3116925
2.03,2.3154862
2.12,2.3479896
2.15,2.3968687
2.15,2.407267
2.16,2.4333599
2.22,2.446986
2.24,2.4623282
2.32,2.460542
2.25,2.470827
2.26,2.48723
2.22,2.4544365
2.22,2.5116155
2.2,2.5141227
2.34,2.5197937
2.44,2.5596807
2.27,2.5495143
2.51,2.542482
2.33,2.5812576
2.28,2.5365818
2.29,2.5147045
2.31,2.5096924
2.3,2.4975026
2.47,2.5035148
2.35,2.4676294
2.24,2.4144297
2.15,2.3687751
2.09,2.3261306
2.14,2.300042
2.04,2.2648513
2.0,2.2197382
2.0,2.202686
1.96,2.205283
1.87,2.2118146
1.84,2.1955261
1.89,2.2452486
1.9,2.246196
1.88,2.2291358
1.91,2.233124
1.81,2.2307737
1.91,2.251412
1.86,2.243622
1.85,2.2367072
