open,prediction
5.51,5.364108
5.54,5.384584
5.6,5.3768525
5.6,5.3567724
5.72,5.385788
5.69,5.3929257
5.75,5.3968296
5.72,5.3997526
5.71,5.302106
5.65,5.3144355
5.66,5.3232346
5.76,5.314292
5.76,5.355745
5.72,5.172868
5.76,5.1427994
5.69,5.0988693
5.8,5.156865
5.71,5.137356
5.57,5.016197
5.48,4.9919643
5.55,4.892459
5.51,4.929346
5.54,4.8547997
5.56,4.8787475
5.53,5.0280695
5.52,5.047024
5.57,5.079869
5.59,5.077016
5.55,5.018143
5.56,4.953188
5.61,4.887289
5.62,4.9123926
5.63,4.879756
5.6,4.9106865
5.56,4.879078
5.52,5.0316224
5.6,5.0492306
5.43,5.1154366
5.58,5.2197795
5.81,5.3364973
5.91,5.3949604
6.02,5.313354
6.0,5.3233833
6.1,5.295414
6.39,5.2427845
5.8,5.193571
5.7,5.1093197
5.7,5.0925226
5.7,5.073264
5.59,5.001826
5.72,4.93528
5.68,4.926725
5.73,4.8533945
5.54,4.8440933
5.48,4.8354106
5.45,4.8384542
5.47,4.8756323
5.43,4.974887
5.58,4.968169
5.56,4.9955683
5.59,5.0521154
5.68,5.118495
5.96,5.2786903
5.69,5.331154
5.67,5.295988
5.87,5.36866
5.95,5.404416
6.21,5.48994
6.0,5.477607
5.98,5.384493
6.05,5.37099
6.02,5.3333874
6.16,5.3451333
5.78,5.2642126
5.58,5.2533503
5.65,5.2995114
5.65,5.3308353
5.75,5.414259
5.65,5.5398912
5.91,5.6761827
6.05,5.7674813
6.02,5.8147907
6.16,5.8302374
6.41,5.967114
6.61,6.0239925
6.56,6.0661325
6.4,6.111758
6.39,6.116926
6.54,6.1166706
6.49,6.206249
6.67,6.273282
6.82,6.3367043
6.66,6.3964148
6.63,6.32367
6.86,6.3588343
6.82,6.369595
6.85,6.3144813
6.88,6.291911
6.77,6.2435074
6.8,6.200735
6.76,6.2099752
6.62,6.1663384
6.66,6.111944
6.51,6.1297035
6.6,6.172858
6.7,6.160371
6.65,6.1657805
6.53,6.203867
6.7,6.1923122
6.8,6.228924
6.42,6.184613
6.66,6.1043377
6.69,6.1172204
6.69,6.0933814
6.62,6.0757265
6.46,6.0731535
6.4,6.0746346
6.42,6.0755925
6.45,6.095443
6.62,6.2048254
6.57,6.2599506
6.7,6.2707787
6.55,6.3314934
6.65,6.328807
6.96,6.356556
6.78,6.3593855
6.81,6.349143
6.87,6.3630047
6.78,6.346463
6.68,6.297525
6.82,6.2237864
6.8,6.1858354
6.87,6.0585537
6.7,5.998791
6.6,5.9384947
6.41,5.9080334
6.4,5.9539146
6.35,6.004836
6.3,6.042289
6.51,6.0943956
6.56,6.1712418
6.68,6.2147217
6.77,6.2206697
6.6,6.2915177
6.55,6.336528
6.75,6.420827
6.66,6.3845253
6.71,6.3174977
7.19,6.3195696
7.08,6.3187838
7.2,6.2213492
6.54,6.12319
6.44,5.889872
6.49,5.812294
6.4,5.765809
6.37,5.720398
6.39,5.701679
5.88,5.666507
5.95,5.61579
6.01,5.61343
6.04,5.63681
6.18,5.6885777
6.15,5.7559557
6.28,5.785135
6.16,5.8322115
6.2,5.889895
6.19,5.9617553
6.29,6.009478
6.43,6.0707636
6.42,6.1651397
6.64,6.185381
6.62,6.1898756
6.52,6.129045
6.61,6.1548142
6.62,6.2050295
6.56,6.2767015
6.41,6.369543
6.54,6.4469132
6.58,6.611096
6.77,6.674361
6.88,6.7134085
7.11,6.790693
7.2,6.9118533
7.42,6.952434
7.12,6.9787765
7.07,6.848062
7.11,6.602456
7.47,6.3993773
7.3,6.354022
7.43,6.2291694
6.94,5.92919
6.05,5.544895
5.97,5.3429794
6.37,5.286616
6.35,5.245572
5.56,5.116107
5.41,4.990513
5.63,5.0272093
5.6,5.070522
5.57,5.097811
5.68,5.1520953
5.73,5.168652
5.8,5.1948037
5.75,5.178561
5.84,5.122941
5.97,5.0778046
5.76,5.0325365
5.79,4.949082
5.65,4.9177427
5.45,4.958575
5.38,4.9574127
5.54,4.976671
5.46,5.098805
5.62,5.208172
5.86,5.2944818
5.7,5.3446984
5.75,5.3579173
6.04,5.423294
6.1,5.532522
6.06,5.586088
6.04,5.641828
6.0,5.6756315
6.15,5.755351
6.3,5.864089
6.39,5.9265223
6.43,6.003386
6.36,6.0509105
6.52,6.115343
6.57,6.1723557
6.54,6.21772
6.7,6.232226
6.66,6.281904
6.81,6.3357925
6.78,6.4230695
6.78,6.4821835
6.7,6.518672
6.83,6.5464497
6.89,6.634617
7.06,6.714969
7.08,6.728816
7.05,6.757141
7.04,6.7261314
7.23,6.7173295
7.25,6.739524
7.12,6.697184
7.21,6.678011
7.08,6.628174
7.05,6.5515924
7.14,6.497339
7.08,6.5243964
7.08,6.6138153
6.9,6.645234
6.78,6.6926003
6.65,6.7959566
7.17,6.891403
7.28,7.031171
7.37,7.1261787
7.42,7.221471
7.5,7.2946167
7.48,7.2685766
7.49,7.1456866
7.65,7.163635
7.67,7.2199802
7.77,7.197361
7.31,7.2068987
7.12,7.2042646
7.44,7.2569704
7.54,7.394346
7.5,7.46653
7.72,7.5320187
7.84,7.629016
7.77,7.764225
7.9,7.850072
7.9,7.994281
8.06,8.105011
8.14,8.162253
8.42,8.228798
8.42,8.261068
8.66,8.3615885
8.59,8.416161
8.55,8.334678
8.49,8.409583
8.41,8.3399315
8.9,8.274551
8.52,8.316905
8.54,8.244755
8.88,8.268686
8.36,8.292156
8.24,8.295166
8.46,8.439301
8.5,8.505375
8.52,8.6562395
8.6,8.771187
8.97,8.781454
9.15,8.830475
8.89,8.8804455
9.41,8.876084
9.18,8.833197
8.85,8.588474
8.75,8.456741
9.1,8.406115
8.97,8.316102
8.7,8.32651
8.16,8.330903
8.39,8.221693
8.27,8.290211
8.17,8.338579
8.85,8.350147
9.0,8.364989
8.39,8.234671
8.64,7.9702945
8.6,7.8812327
8.35,7.6290846
8.17,7.4606786
8.04,7.2453
7.56,6.9902716
7.65,6.988973
7.0,7.2759476
7.5,7.4186893
6.9,7.636854
6.79,7.5545483
7.62,7.616563
8.9,8.032104
8.78,8.204962
8.89,8.155895
7.8,8.173402
7.63,8.038239
8.45,8.315808
8.1,8.774544
8.57,8.986264
8.73,9.097715
8.6,9.078951
9.35,9.158711
10.05,9.4123955
10.07,9.245316
9.28,8.652789
8.86,8.239575
8.96,7.9918065
9.56,7.609932
8.25,7.2265425
7.18,6.6657305
7.38,6.367985
7.39,6.2305727
6.5,6.058242
6.4,5.8974485
6.22,5.810269
6.31,5.823023
6.06,5.8559284
6.31,5.948964
6.39,6.1610847
6.21,6.2089667
6.5,6.349758
6.44,6.508613
6.91,6.617921
