open,prediction
5.77,8.568919
5.71,9.269043
5.71,8.853535
5.58,9.580827
5.69,8.727757
5.7,8.544635
5.66,9.175092
5.78,9.366714
5.83,9.046551
5.85,9.027008
5.77,9.399101
5.91,9.428837
6.01,8.900889
5.79,8.625
5.63,9.386822
6.09,8.75419
6.33,8.28966
6.75,8.464035
5.78,8.597863
6.28,8.091288
5.5,7.892392
5.38,8.21191
5.28,8.525705
5.19,8.258488
5.28,7.9784
5.26,7.9372797
5.3,8.00487
5.51,7.543403
5.28,8.028791
5.16,7.40152
5.17,7.642794
5.24,7.239945
5.16,7.034954
4.97,6.9661384
4.81,6.710945
4.81,7.114933
4.7,7.337707
4.65,7.3417134
4.67,7.2497144
4.76,6.7571583
4.97,7.0663776
5.11,7.112242
5.15,6.348408
5.23,6.4468017
5.12,6.4131804
5.03,6.325811
5.09,6.387908
5.09,6.1956124
5.05,6.168411
5.06,5.6217895
5.06,6.699259
4.95,6.2785435
4.94,6.152265
4.96,6.409473
4.95,6.401752
4.93,6.5004287
5.05,6.8173304
5.07,6.7813754
5.11,6.3271527
5.16,6.320716
5.22,6.028101
5.23,6.2750273
5.24,5.6587625
5.25,6.1627607
5.18,5.876245
5.24,5.5794845
5.28,5.9952855
5.22,6.279781
5.14,6.1186986
5.11,5.9042087
5.07,6.387971
5.15,6.769068
5.19,5.8152957
4.91,6.137018
4.75,7.5547614
4.77,8.172044
4.68,8.333144
4.68,8.078109
4.66,8.272697
4.8,8.285275
4.89,8.634704
4.98,8.515013
5.06,7.983044
4.97,8.041194
5.09,7.9931345
5.0,8.425444
4.98,8.155876
4.91,8.485492
5.11,8.598314
5.08,8.669559
5.07,8.639366
5.26,8.758111
5.35,8.367151
5.21,8.816351
5.28,8.667234
5.28,8.597427
5.3,8.456495
5.39,8.514753
5.41,8.443749
5.53,8.957221
5.56,8.801527
5.22,8.420264
5.26,8.96746
5.29,8.750721
5.34,8.506402
5.37,8.1073
5.5,9.057886
5.66,8.817364
5.78,8.781517
5.9,8.544505
5.84,9.1366005
6.02,8.69859
5.95,8.708025
5.87,8.991968
5.84,8.872817
5.88,8.435716
5.58,8.2594
5.6,8.964283
5.62,8.712982
5.64,8.577225
5.72,9.075127
5.67,8.915085
5.63,9.016612
5.62,8.761116
5.76,8.6303
5.81,8.970923
5.87,8.630163
5.69,9.297557
5.63,9.095411
5.58,9.228916
5.67,8.989409
5.62,9.606497
5.77,9.19504
5.9,9.229971
5.78,9.026403
5.68,8.613085
5.66,8.44835
5.59,8.796742
5.45,8.407164
5.52,9.18134
5.51,9.277884
5.65,8.992096
5.66,9.261201
5.62,9.816549
5.85,9.950154
6.19,10.09821
6.19,10.614214
6.3,10.5896
6.65,9.786832
6.85,9.663758
6.77,9.078714
6.9,9.333541
7.2,9.438482
6.16,9.655621
6.08,9.271317
6.0,9.367648
5.82,9.99379
6.03,10.833441
6.05,10.756752
5.81,9.825225
6.07,9.021448
6.9,9.380461
8.38,9.125973
7.62,9.326844
6.72,9.327843
5.7,9.380586
5.85,8.618134
5.58,8.187402
5.47,8.434349
5.39,8.499967
5.21,8.406551
5.26,8.304388
5.25,8.081461
5.35,7.7469873
5.18,8.136449
5.06,8.588154
4.8,8.172743
4.85,8.347308
4.85,7.757122
4.98,8.275662
5.05,8.198347
5.01,7.905149
5.12,8.392616
5.02,8.073597
5.01,8.393327
4.97,8.261585
5.12,7.4852962
5.06,8.187646
5.02,7.8911414
5.11,7.79968
4.98,7.9495106
4.75,7.6203103
4.72,7.22423
4.66,8.129908
4.63,7.9015503
4.52,8.053875
4.51,8.059723
4.73,7.856589
4.82,8.106085
4.69,7.33317
4.81,7.955048
5.12,7.577515
4.73,7.239013
4.63,7.4135857
4.59,7.156715
4.62,7.3709755
4.5,7.4504366
4.43,7.5517077
4.37,7.1795745
4.32,7.825053
4.44,7.5654807
4.4,7.3339925
4.39,7.9895077
4.55,8.820277
4.66,8.915645
4.66,8.731361
4.76,8.988193
5.41,8.133316
5.69,8.778375
5.73,8.213872
5.7,7.8030515
5.47,8.8199835
5.58,8.235447
5.8,8.568673
5.16,7.812805
5.01,7.8853316
5.32,8.210449
5.06,7.7387094
5.06,8.101939
5.12,8.0493145
4.92,7.8485637
4.95,8.168694
4.96,7.5141115
5.05,7.617662
4.89,7.899086
4.71,8.222475
4.72,8.183041
4.78,8.077233
4.9,7.972841
4.75,7.864073
4.8,8.02585
4.89,7.7256603
4.94,7.888984
4.89,7.4108133
4.88,7.5692234
4.84,7.8313303
4.77,8.410548
4.8,7.282911
4.67,8.252178
4.71,7.3234534
4.37,8.081506
4.6,7.567356
4.27,8.104816
4.2,7.2821155
4.42,7.647898
4.45,7.540644
4.47,7.7303205
4.49,7.991699
4.53,7.5026307
4.48,7.5929337
4.45,7.603753
4.36,7.7120657
4.33,7.7895136
4.37,7.740344
4.29,7.1939745
4.1,7.7106376
4.19,7.671564
4.32,8.076714
4.24,7.8139763
4.35,8.029679
4.37,8.091435
4.34,7.4174247
4.45,8.039751
4.5,7.9906154
4.5,8.118498
4.42,7.9673147
4.45,8.66196
4.33,7.2079573
4.48,7.502509
4.49,7.729634
4.49,7.44539
5.2,7.199768
4.29,7.1989813
4.28,7.1713
4.1,7.1080728
3.98,7.5493217
3.96,7.3101697
3.89,6.937746
3.91,7.2977867
3.9,6.890933
3.99,7.2076893
3.98,7.124947
4.09,7.5205445
4.11,7.1097913
4.09,7.464712
4.08,7.5721784
4.2,7.6306415
4.16,7.549653
4.22,7.135193
4.21,7.4840426
4.3,8.030039
4.33,7.3175144
4.08,7.3539505
4.37,7.2770786
4.38,7.5219245
4.34,7.7248755
4.27,7.4021983
4.18,7.6543946
4.35,7.5840664
4.19,6.8781962
4.19,7.194803
4.08,7.2686243
4.28,7.03277
4.12,7.470419
3.98,7.112289
4.02,6.92267
4.18,7.4513917
3.75,7.1910768
3.91,7.559318
3.83,7.593713
3.91,7.5753517
4.28,7.6634793
4.08,8.481692
4.66,8.758592
4.55,8.728774
4.75,7.6698
4.88,6.813713
5.71,7.888083
5.63,8.051858
5.47,7.740426
4.5,7.4242215
4.45,7.6978292
4.55,7.7453194
4.5,7.549149
4.44,7.5350184
4.36,7.5946536
4.38,7.4242654
4.28,7.4416137
4.33,7.357494
4.28,7.4077654
4.22,6.8528585
4.27,7.095519
4.32,7.202181
4.29,7.37272
4.15,6.72414
3.95,7.189995
3.91,6.9695277
3.79,7.1285553
4.04,7.324713
4.17,7.778675
4.07,7.9558067
4.07,7.60093
4.14,7.1648498
4.44,7.6102986
4.26,7.7728605
4.42,7.6462703
4.36,7.6702495
4.21,7.5620127
4.3,7.923414
4.75,7.8132777
4.01,7.3236585
4.11,7.8741918
4.1,7.3990116
4.18,7.4680834
4.15,6.99593
4.08,7.698612
4.13,7.57796
4.03,7.8091397
4.14,7.336406
4.01,7.289392
4.17,6.9469404
4.11,7.396255
4.15,7.4492297
4.03,7.67618
4.03,7.083984
3.9,7.581259
4.02,7.2614775
3.97,7.6562557
4.17,7.5237064
4.17,8.159685
4.12,7.989831
4.39,8.038075
4.26,7.728892
4.44,7.3039746
4.49,7.6994157
4.61,7.7148576
4.65,7.7456374
4.5,7.493245
4.36,7.715739
4.36,7.543861
4.46,7.7065015
4.4,7.4080453
4.48,7.3968954
4.34,7.607079
4.31,7.95291
4.35,7.4582434
4.35,8.064919
4.33,7.292315
4.17,7.5157638
4.29,8.040446
4.38,8.225478
4.52,8.256037
4.38,8.053493
4.47,7.975894
4.58,7.4001164
4.62,7.4089713
4.67,7.0498934
4.67,7.6504664
4.24,7.6130857
4.03,7.2320437
3.91,7.626753
3.9,7.583797
4.02,7.563963
3.99,7.522653
4.0,7.467054
4.01,7.656248
4.01,7.8637357
3.99,7.981265
3.92,7.279805
4.03,7.3206935
3.97,7.522465
4.07,7.811618
4.17,7.2560697
4.08,7.090995
