open,prediction
3.11,3.4485774
3.08,3.504478
3.13,3.500269
3.07,3.4799874
3.17,3.5093164
3.17,3.495704
3.23,3.4891953
3.25,3.38404
3.25,3.4301727
3.28,3.2568119
3.28,3.3514395
3.25,3.3221996
3.17,3.32977
3.19,3.1986775
3.05,3.1503062
3.1,3.2095912
3.06,3.1418593
3.06,3.081584
2.94,3.0838242
2.9,3.1141393
2.9,2.938621
2.87,2.9609919
2.79,2.9506755
2.79,2.9429219
2.85,2.8812833
2.64,2.9075027
2.64,2.9649403
2.65,3.008959
2.6,2.97511
2.59,3.0022557
2.59,3.0329878
2.65,3.0518317
2.68,3.024038
2.67,3.055657
2.68,3.1241257
2.74,3.0533035
2.78,3.1470525
2.72,3.122975
2.8,3.1072161
2.8,3.1374974
2.78,3.086104
2.85,3.036402
2.84,3.0637314
2.85,3.0964618
2.88,3.0714028
2.82,3.1338747
2.77,3.074115
2.76,3.169358
2.81,3.1945732
2.82,2.97017
2.82,2.9345078
2.8,3.0085766
2.88,3.0020115
2.93,3.024093
2.66,3.0385656
2.63,3.0276175
2.69,3.045263
2.71,3.1011183
2.73,3.0921333
2.74,3.0532842
2.76,3.1591508
2.77,3.1478696
2.81,3.1736417
2.81,3.190977
2.8,3.2081895
2.9,3.2435057
2.9,3.2964888
2.92,3.3023992
2.92,3.3011994
2.98,3.2042975
3.0,3.24926
3.04,3.177452
3.08,3.3137155
3.07,3.255886
2.96,3.3335772
2.98,3.3975477
2.93,3.3561125
3.06,3.3300595
3.03,3.3679216
3.09,3.40702
3.15,3.427067
3.13,3.405908
3.12,3.423261
3.16,3.424894
3.17,3.4212372
3.19,3.442487
3.2,3.5362387
3.21,3.4860795
3.23,3.5429237
3.18,3.5912712
3.24,3.5888846
3.32,3.681391
3.32,3.6565235
3.34,3.3625216
3.42,3.370924
3.4,3.4007573
3.52,3.3709614
3.49,3.415413
3.21,3.3527818
3.15,3.4549184
3.17,3.3594935
3.15,3.4250073
3.18,3.3939075
3.15,3.4533565
3.22,3.5195556
3.15,3.537751
3.2,3.5702844
3.19,3.5707507
3.24,3.5842428
3.3,3.6155581
3.29,3.6208107
3.33,3.5953493
3.35,3.6482615
3.4,3.564861
3.42,3.5628977
3.46,3.5899718
3.4,3.571078
3.46,3.505643
3.42,3.5070314
3.38,3.596717
3.38,3.568867
3.36,3.6255925
3.32,3.576456
3.3,3.5726159
3.43,3.4885135
3.4,3.366059
3.45,3.393477
3.43,3.3525813
3.4,3.386791
3.31,3.4329371
3.18,3.388228
3.16,3.439369
3.16,3.415382
3.19,3.342219
3.21,3.3902452
3.18,3.2543285
3.22,3.3257153
3.19,3.300543
3.15,3.2933407
3.17,3.3391087
3.05,3.3774207
3.1,3.4474645
3.08,3.4073353
3.1,3.450952
3.14,3.473143
3.16,3.4612317
3.26,3.3337705
3.23,3.2657251
3.25,3.2639022
3.25,3.342171
3.24,3.322263
3.14,3.3668451
3.06,3.308211
3.06,3.3885684
3.09,3.351647
3.11,3.2965271
3.12,3.3898263
3.09,3.3679035
3.15,3.423216
3.12,3.4091544
3.07,3.3671255
3.15,3.4463181
3.16,3.4895778
3.24,3.477476
3.23,3.4938116
3.18,3.5019844
3.25,3.4656062
3.29,3.4791188
3.28,3.4604335
3.3,3.507647
3.33,3.4315
3.28,3.4264736
3.28,3.4481895
3.28,3.409463
3.32,3.4671974
3.24,3.500015
3.2,3.5554373
3.24,3.6549168
3.22,3.6386304
3.28,3.6651018
3.32,3.5177512
3.36,3.5143101
3.47,3.563337
3.47,3.5387886
3.49,3.6171498
3.36,3.5874581
3.33,3.5262787
3.36,3.5487418
3.37,3.5887542
3.44,3.6077807
3.43,3.590053
3.36,3.5942888
3.38,3.6066802
3.42,3.5490923
3.45,3.6311686
3.43,3.6138062
3.42,3.6985748
3.45,3.5396693
3.4,3.6768758
3.46,3.7225184
3.47,3.7099984
3.55,3.5782144
3.39,3.4064567
3.51,3.377588
3.57,3.3204973
3.58,3.2892303
3.45,3.3558815
3.2,3.3978465
3.16,3.4136188
3.1,3.4596176
3.06,3.3496575
3.12,3.3947272
3.14,3.5102909
3.23,3.5165606
3.27,3.5841584
3.14,3.5580046
3.2,3.5568545
3.33,3.6529825
3.37,3.7037947
3.4,3.6681228
3.39,3.5446532
3.39,3.5664096
3.47,3.638799
3.54,3.7109156
3.54,3.6669364
3.4,3.6780508
3.41,3.5797145
3.48,3.7240658
3.53,3.7950194
3.53,3.8419185
3.53,3.7834399
3.45,3.8258612
3.57,3.7928402
3.65,3.9826257
3.72,3.8351388
3.67,3.9627178
3.71,3.8741372
3.68,3.9248836
3.86,3.9819055
3.74,3.9757824
3.84,3.91164
3.78,3.8475752
3.8,3.8073578
3.87,3.7909234
3.89,3.8773308
3.83,3.8893993
3.75,3.7466357
3.68,3.7813942
3.69,3.8637826
3.74,3.9599657
3.77,3.9045987
3.64,3.8983204
3.63,4.0296073
3.72,3.9997323
3.82,3.8270917
3.8,3.8498845
3.82,3.7867823
3.93,3.657036
3.9,3.6248813
3.74,3.6484215
3.73,3.4890835
3.67,3.6125884
3.54,3.648289
3.47,3.6325045
3.49,3.6995807
3.36,3.7555969
3.45,3.5139084
3.5,3.589626
3.5,3.48936
3.55,3.4720442
3.62,3.2645562
3.4,3.3330035
3.43,3.324924
3.34,3.388545
3.31,3.2984478
3.07,3.3098536
3.12,3.2911294
3.11,3.2698543
3.19,3.3633316
3.1,3.3687513
3.12,3.3038194
3.1,3.387806
3.07,3.332453
3.17,3.4667475
3.18,3.332823
3.12,3.4804535
3.19,3.4285493
3.17,3.510974
3.27,3.5722423
3.17,3.5849168
3.28,3.530205
3.25,3.714524
3.34,3.5608532
3.4,3.5895905
3.42,3.596853
3.4,3.5443761
3.56,3.6248348
3.44,3.559074
3.44,3.709044
3.45,3.710238
3.4,3.733142
3.46,3.635633
3.41,3.5165317
3.54,3.7720342
3.58,3.3035524
3.58,3.2098439
3.48,3.1576385
3.37,3.1901765
3.6,3.149491
3.17,3.178779
3.02,3.2099352
2.93,3.2268949
2.96,3.1571903
2.92,3.1953099
2.96,3.2015424
2.99,3.2596226
3.01,3.471482
2.94,3.4249792
2.97,3.6293728
2.98,3.6179597
3.07,3.5514083
3.26,3.5404954
3.28,3.6201153
3.45,3.5863461
3.48,3.6851764
3.42,3.5457811
3.38,3.6934984
3.46,3.6112838
3.45,3.7349339
3.53,3.6824594
3.41,3.5178928
3.55,3.600583
3.48,3.6145756
3.6,3.658
3.54,3.6440625
3.38,3.7538154
3.45,3.8752122
3.48,3.877845
3.52,4.0123534
3.5,3.9690847
3.61,3.8771405
3.73,4.0120063
3.77,3.7585502
3.89,3.9992595
3.89,3.8391943
3.8,3.805659
3.91,3.830445
3.69,3.808967
3.87,3.9128423
3.75,3.8476367
3.71,3.8808346
3.71,3.877255
3.7,3.9076443
3.8,3.721784
3.73,3.7809796
3.77,3.8806643
3.78,3.6120257
3.8,3.660762
3.62,3.7276862
3.65,3.5973094
3.74,3.5518358
3.49,3.630839
3.52,3.6217258
3.58,3.6473367
3.47,3.6505232
3.4,3.7660644
3.47,3.823557
3.46,3.8549955
3.49,3.8304937
3.5,3.702446
3.6,3.57548
3.62,3.7827654
3.69,3.7089908
3.7,3.7033553
3.55,4.1557074
3.42,4.3663116
3.58,4.232045
3.56,4.1663985
3.56,4.263911
3.97,4.2411346
4.23,4.40297
4.16,4.43777
4.07,4.3665476
4.14,4.186609
4.12,4.193024
4.27,4.2852917
4.33,4.3012104
4.29,4.30246
4.12,4.2791586
4.08,4.182013
4.13,4.2642655
4.15,4.2715387
4.18,4.2181253
4.14,4.266507
4.05,4.466625
4.11,4.5817657
4.13,4.4740605
4.1,4.6505094
4.13,4.6023035
4.3,4.7970448
4.43,4.952409
4.38,4.819831
4.5,4.652108
4.48,4.451184
4.65,4.186859
4.79,4.1940613
4.73,4.178511
