open,prediction
8.68,8.948339
8.75,8.921705
8.76,8.994652
8.78,9.18342
8.9,9.118883
8.87,9.072971
9.12,9.294922
8.99,9.105197
9.1,8.821697
9.19,9.242825
9.27,9.180268
9.36,9.183164
9.26,9.165215
9.17,9.178853
9.19,9.068442
9.24,9.410015
9.33,9.348485
9.25,9.067498
9.14,8.690945
9.12,9.156067
9.23,9.248311
9.27,9.242235
9.16,9.277382
9.03,9.1900835
9.26,9.341831
9.31,9.7841835
9.27,9.428651
9.29,9.471834
9.23,9.585711
9.2,9.52378
9.38,9.608414
9.44,9.369321
9.49,9.336475
9.44,9.430955
9.44,9.528622
9.6,9.416759
9.73,9.282929
8.58,9.149132
8.59,9.167931
8.6,9.127539
8.88,9.106114
8.75,9.161487
8.56,8.861668
8.52,8.980931
8.46,8.87481
8.4,8.691314
8.29,8.785961
8.37,8.9464655
8.35,8.721648
8.45,9.012825
8.72,8.784973
8.72,8.817878
8.5,8.859687
8.53,9.060502
8.54,9.1481085
8.51,8.64853
8.68,9.001038
8.68,8.899439
8.81,9.261742
8.74,8.87559
8.96,9.104007
8.93,8.9514475
8.92,9.225465
8.98,9.382102
8.96,8.96034
9.04,9.01742
8.9,8.954704
9.08,9.20676
8.93,9.162593
8.9,8.901083
9.0,9.074279
8.88,9.0645685
8.96,9.133384
9.01,9.126575
8.72,9.157596
8.82,9.195079
8.47,9.240658
8.86,9.227549
9.26,9.354779
9.68,9.299766
9.95,9.395564
9.94,9.391344
9.8,9.374936
9.75,9.091036
9.6,9.1571455
9.55,9.142335
9.4,9.346422
9.31,9.330437
9.64,9.335659
9.5,9.28606
9.58,9.462222
9.78,9.418176
9.67,9.618097
9.58,9.536991
9.76,9.512694
9.75,9.401171
9.93,9.567891
9.97,9.302484
9.79,9.546919
9.91,9.564878
10.05,9.602857
9.9,9.469881
9.92,9.597
9.89,9.771623
10.1,9.8042755
9.92,9.709395
10.27,9.788969
10.05,9.971791
10.51,9.815449
10.6,10.063389
10.63,9.8865385
10.83,9.827522
10.99,10.134685
10.43,9.957878
10.53,9.918756
10.23,9.887735
10.38,9.969858
10.68,9.979079
10.79,10.035078
11.21,10.472557
10.95,10.462892
10.95,10.194806
10.78,10.065585
11.21,10.1117735
11.78,10.00784
11.5,9.999319
9.6,9.535204
9.65,9.374071
9.6,9.275106
9.47,9.241973
9.52,9.3219795
9.58,9.33902
9.4,9.224508
9.45,9.125333
9.44,9.142891
9.2,9.022869
9.12,9.319384
9.05,9.121487
8.78,8.998173
8.82,9.0822315
8.76,9.018792
8.92,8.9669695
8.79,9.12581
8.7,9.079019
8.67,8.951736
8.84,9.00489
8.96,8.9468775
8.82,9.100603
8.76,9.162981
8.85,9.286218
8.83,9.329544
8.7,8.943475
8.73,8.969673
8.9,9.042287
9.07,9.305041
9.29,9.124519
8.89,8.867473
9.0,9.0197735
9.23,9.165093
8.94,9.263312
8.92,9.167978
9.16,9.16637
9.1,9.3190155
9.19,9.236719
9.5,9.396715
9.47,9.356778
9.7,9.565392
9.8,9.491743
9.51,9.324916
9.75,9.416198
10.04,9.354752
9.71,9.282733
9.59,9.407932
9.6,9.222852
9.58,9.4025755
9.7,9.081039
9.41,9.226689
9.35,9.117802
9.86,9.160008
8.84,8.948948
8.69,9.011169
8.67,8.805027
8.88,9.08184
8.89,8.9375515
8.8,9.015975
8.66,8.892661
8.77,8.849547
8.72,8.696514
8.61,8.910179
8.73,8.833837
8.74,8.9106455
8.4,8.842309
8.29,8.852773
8.17,8.831469
8.18,8.900359
7.99,8.617118
7.74,8.760884
8.15,8.697708
8.48,8.931677
8.67,8.932821
8.79,9.160236
8.74,8.942064
8.69,9.264698
8.71,9.158283
8.77,8.877529
8.9,8.908898
8.82,8.914454
8.63,8.962047
8.57,8.910795
8.43,9.008244
8.3,8.995266
8.64,9.108441
8.6,8.851873
8.7,9.119474
9.05,9.095466
8.91,9.166313
8.91,9.32863
9.38,9.299586
9.2,9.478505
9.37,9.434286
9.25,9.732638
9.12,9.777669
9.64,9.850011
10.04,9.730251
10.46,9.97448
10.93,9.956442
11.32,10.103787
10.78,10.118011
10.8,9.799721
10.36,9.764768
10.3,9.827584
10.54,9.864315
10.65,9.899023
10.45,9.546219
10.5,9.659119
10.11,9.482275
9.7,9.742813
9.75,9.56818
10.1,9.686573
9.88,9.726551
9.71,9.634033
10.07,9.860826
10.0,9.728165
10.18,9.910305
10.29,9.777155
10.13,9.833156
10.3,10.057247
10.56,9.77571
10.51,9.648435
10.25,9.70627
10.03,9.568665
10.42,9.587634
9.45,9.456923
9.63,9.375881
9.99,9.300451
9.87,9.3469715
9.07,9.0820675
9.06,9.222712
8.88,8.994122
8.91,8.971405
9.14,9.091467
9.05,9.104834
9.12,9.100567
8.95,9.004682
8.75,8.831334
8.43,8.653031
8.81,8.996957
8.8,8.942224
8.51,9.086226
8.76,9.070816
8.99,9.138231
9.09,9.192658
8.82,8.988542
9.24,9.207624
9.15,9.248791
9.18,9.208389
9.23,9.4062805
9.29,9.202668
9.52,9.167064
9.41,9.248652
9.28,9.352213
9.21,9.3181305
9.18,9.001593
9.26,9.410175
9.53,9.381519
9.45,9.368916
9.36,9.318596
9.3,9.261405
9.55,9.46662
9.71,9.451334
9.69,9.5823965
9.63,9.341683
9.72,9.687675
9.82,10.190144
10.16,9.8451185
9.88,9.820061
9.89,9.759717
11.0,9.902892
12.0,9.749953
9.84,9.527235
9.18,9.389977
9.43,9.288738
9.06,8.9651165
8.94,8.950642
9.11,8.853213
9.35,9.080825
8.49,8.672716
7.79,8.7895155
7.86,8.6879635
7.82,8.661919
7.86,8.527838
7.7,8.617582
7.75,8.628874
7.63,8.366708
7.6,8.30156
7.55,8.529054
7.5,8.583792
7.23,8.53316
7.35,8.650383
7.15,8.780811
7.55,8.6432495
8.1,8.746913
8.45,9.192774
8.88,9.4622135
9.15,9.364544
8.6,9.627153
8.54,9.560318
9.52,9.987337
10.5,10.260233
10.25,9.967502
10.43,10.149743
10.81,9.875814
11.0,9.903277
10.45,9.810063
9.8,9.680874
9.81,9.721247
10.1,9.559637
10.33,9.658419
9.95,9.584135
10.17,9.536608
10.2,9.209841
9.31,9.102706
9.28,9.107425
8.9,8.995557
8.95,9.062063
8.69,8.861788
8.76,9.558571
8.67,8.92003
8.94,9.365866
9.19,9.270305
9.15,9.41823
8.94,9.512024
9.14,9.282551
9.5,9.315059
9.56,9.342537
9.73,9.491259
9.8,9.559967
9.55,9.462566
9.4,9.581303
9.35,9.557286
9.46,9.415268
9.76,9.485889
9.59,9.472105
9.69,9.391581
9.64,9.485653
9.56,9.358343
9.78,9.678744
9.47,9.497208
9.57,9.515288
9.55,9.435298
9.75,9.407374
9.75,8.081268
9.74,9.612373
9.55,9.510162
9.38,9.530215
8.8,9.627332
8.64,9.844153
9.22,9.908897
10.62,10.206621
10.65,10.12553
10.7,10.429004
11.23,10.6138935
11.22,10.577675
11.36,10.66187
11.35,10.635539
11.63,10.90966
11.86,10.882128
11.59,10.784576
11.56,10.84218
11.51,10.9525795
11.81,11.067652
11.58,10.681653
11.9,10.7498
11.77,10.944999
12.02,10.987034
11.78,11.088379
11.59,11.004787
11.57,10.879576
11.36,11.363968
12.23,11.556933
12.34,11.49372
12.3,11.80286
12.18,11.657721
12.62,11.608258
13.06,11.696734
12.75,11.823618
13.04,11.504444
12.3,11.507669
12.18,11.724988
12.18,11.905554
12.26,12.0748625
12.28,11.782791
12.69,12.342192
13.01,11.898087
13.28,11.86187
13.1,11.518923
12.48,11.961193
12.6,11.653854
11.76,11.553642
11.95,10.857105
12.22,10.602492
12.13,10.660555
12.18,10.817619
12.4,10.563044
10.9,10.124587
10.36,9.812717
10.05,9.647142
10.39,9.647953
10.43,9.873512
10.55,9.650143
10.35,9.690522
10.36,9.807197
10.38,9.815891
10.17,10.098238
10.42,9.6353035
10.36,10.118218
10.29,10.184476
10.75,10.404379
10.49,10.350352
10.44,10.364926
11.37,10.6464405
11.78,10.880953
11.9,10.632521
11.42,10.5158615
11.88,10.834568
11.97,10.848675
12.27,11.197359
11.65,11.400299
11.3,11.751181
11.66,12.57921
11.68,12.995414
13.0,13.447117
13.94,13.4759655
14.14,14.375787
15.0,15.303656
14.3,15.564466
14.9,15.051898
13.92,15.321482
16.09,15.989646
17.36,16.063322
17.65,16.334433
16.4,16.00404
16.6,16.001415
17.28,15.914481
16.15,15.244117
16.6,14.643486
16.51,14.837623
16.8,14.65308
16.3,14.369509
15.37,14.384563
13.62,13.571222
14.3,14.392267
13.66,13.293451
12.5,13.9682665
14.35,13.726124
14.66,14.147048
14.84,13.268981
13.49,13.884058
13.75,13.315633
13.32,13.093914
13.47,13.377174
13.69,12.863644
13.16,12.834042
13.78,13.721169
13.13,12.817369
13.41,12.79362
13.51,11.977411
13.59,11.638697
13.74,11.843174
12.98,11.558453
12.7,11.11058
12.5,10.610952
11.17,10.379691
11.46,10.236952
11.13,10.373565
11.54,10.8011875
11.3,10.759385
11.09,11.04701
10.89,10.859488
11.19,11.278579
12.1,11.566898
12.35,11.746493
12.85,11.609316
12.77,11.491707
12.96,11.579115
12.45,11.608953
13.02,11.277642
12.23,11.144974
12.0,11.247276
12.48,10.948311
11.97,10.999889
12.34,10.429558
11.54,10.535478
11.48,10.668409
11.52,10.418642
10.88,10.164412
10.51,10.099111
10.49,10.443681
11.29,10.360746
10.99,10.439972
10.9,10.286767
10.9,10.272396
10.81,10.142135
10.7,9.845751
10.74,9.935261
10.78,9.883213
10.38,10.114865
10.35,9.882527
10.29,10.232024
10.69,10.311235
11.06,10.422606
11.12,10.252028
11.3,10.51856
11.1,10.136074
11.08,10.417843
11.13,10.65572
10.9,10.545614
11.27,10.18301
10.99,9.976242
11.41,10.03281
11.99,10.02021
10.53,9.502985
9.99,9.484999
9.35,9.3013315
9.43,9.293461
8.98,9.372122
8.91,9.454715
9.08,9.337511
9.27,9.353793
9.22,9.348045
9.52,9.576279
10.24,9.610264
9.9,9.390155
9.61,9.240298
9.74,9.383793
9.59,9.480348
9.33,9.104255
8.89,9.070078
9.07,8.695601
9.07,9.184589
8.84,9.294062
8.93,9.079468
8.8,9.026911
8.79,9.116271
8.92,9.142534
9.1,9.258423
9.26,9.27255
9.37,9.286815
9.25,9.34212
9.22,9.318214
9.26,9.435809
9.46,9.269791
9.85,9.116999
9.87,9.2874565
9.71,9.150776
9.54,8.990041
8.99,9.063493
8.67,8.870798
8.57,8.892096
8.42,8.910578
8.65,9.117277
8.61,8.961961
8.57,9.076878
8.56,9.012718
8.8,9.097624
9.27,9.356457
9.2,9.216438
9.38,9.246383
9.32,8.860377
9.17,8.98975
9.26,8.9926
9.0,9.100967
8.76,8.905576
8.47,8.975987
8.57,8.999242
8.76,8.985931
8.85,9.067272
8.77,8.773487
9.0,8.980236
8.78,8.9403105
9.0,8.757576
8.7,8.896156
8.55,8.693976
8.87,8.585658
8.61,8.712799
8.64,8.216762
8.3,8.530584
7.67,8.240068
7.53,8.133312
7.37,8.2059145
7.14,8.1856165
7.09,8.142764
6.99,7.998343
7.03,8.141003
7.23,8.38762
7.36,8.32374
7.48,8.415872
7.44,8.440279
7.12,8.040869
7.31,8.26728
7.2,8.403526
7.17,8.632074
7.33,8.1229925
7.32,8.469046
7.31,8.46412
7.34,8.231269
7.18,8.263167
7.01,8.261128
7.03,8.409414
6.98,8.381275
7.05,8.4111805
7.22,8.387919
7.23,8.459394
7.57,8.513988
7.79,8.539891
7.87,8.618807
7.77,8.348016
7.68,8.550599
7.75,8.415895
7.88,8.58113
8.11,8.824881
7.92,8.851041
8.21,8.628919
8.25,8.822734
8.65,8.921512
8.45,9.144636
8.45,8.894997
8.31,8.994595
8.28,8.99241
8.54,9.077444
9.16,9.0026045
8.94,9.008177
9.09,8.851254
8.95,8.897063
8.67,8.8825245
8.51,8.856103
8.4,8.904416
8.61,9.261721
8.49,9.03352
8.3,8.97193
8.46,9.100825
8.72,9.086685
8.73,9.106794
9.14,8.960575
9.42,8.964128
9.25,9.221021
9.36,8.978122
9.01,8.890935
8.46,8.865261
8.63,8.852589
8.85,8.575511
8.39,8.784632
8.15,8.773612
8.0,8.626824
8.12,8.76004
8.04,8.70975
8.08,8.543043
7.87,8.60523
8.01,8.643367
8.0,8.901315
7.9,8.462218
7.9,8.576492
7.87,8.49453
7.85,8.71747
7.81,8.603909
7.65,8.528844
7.76,8.3959465
7.75,8.510498
7.89,8.55772
7.79,8.599987
7.89,8.484475
7.89,8.440129
7.86,8.429627
7.71,8.322098
7.72,8.244014
7.56,8.379005
7.47,8.382562
7.46,8.40465
7.37,8.13942
7.6,8.455037
7.47,8.518088
7.61,8.385207
7.63,8.833038
7.72,8.36649
7.82,8.693877
7.69,8.450076
7.64,8.516174
7.62,8.473748
7.68,8.508006
7.63,8.437851
7.55,8.5942
7.9,8.531011
7.85,8.4714155
7.88,8.587514
8.12,8.679959
7.93,8.708509
8.02,8.527722
7.81,8.550807
7.86,8.666919
7.79,8.748061
7.71,8.456981
7.63,8.500138
7.72,8.570629
7.87,8.351541
7.84,8.485409
7.79,8.582335
8.0,8.49525
7.94,8.402637
7.91,8.619443
7.86,8.371085
7.85,8.580083
7.72,8.695359
7.67,8.406483
7.97,8.536604
7.83,8.700692
7.95,8.689503
8.05,8.638038
8.01,8.429318
8.1,8.45532
8.0,8.559424
7.83,8.581846
7.89,8.791857
7.55,8.501675
7.49,8.560038
7.45,8.173964
7.72,8.541109
7.7,8.642687
7.75,8.734118
7.84,8.605519
7.59,8.648682
7.55,8.678377
8.94,8.7197895
8.3,8.87494
8.2,8.671141
8.21,8.489959
7.89,8.510194
7.79,7.8981447
8.0,8.127095
7.45,8.187678
7.19,8.032681
7.28,7.9997516
6.83,8.199747
6.76,7.9874125
6.69,8.146037
6.72,8.001832
6.83,8.094163
6.91,8.173042
